Discount,Buy_One_Get_One,Minimum Discount,Urban,Rural,Surburban,Web,Phone,Multichannel,Bundeled offers,CLTV_12_Months,Rabbit Night Light,Hot Water Bottle Keep Calm ,Hand Warmer Owl Design,Bicycle Puncture Repair Kit  ,Please One Person Metal Sign,Giant 50's Christmas Cracker,Set of 20 Vintage Christmas Napkins,Assorted Colour Bird Ornament,Retrospot Tea Set Ceramic 11 PC,Popcorn Holder,Retrospot Heart Hot Water Bottle
1,0,0,1,0,0,1,0,0,0,15174129.22,0.8,?,0.21,0.17,?,0.8,0.21,?,?,0.17,?
1,0,0,0,0,1,0,0,1,0,0,?,?,0.14,0.57,0.8,?,?,?,?,0.14,?
0,0,1,0,0,1,1,0,0,0,0,1,0.8,0.55,0.57,0.62,0.44,0.71,0.57,0.13,0.55,0.06
1,0,0,1,0,0,0,1,0,0,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,1,0,0,1,0,0,1,0,0.33,1,0.4,0.44,0.57,0.44,0.4,0.57,0.44,0.12,0.11
0,1,0,0,0,1,0,1,0,0,6632131.551,?,0.8,?,0.8,?,0.17,?,0.14,0.17,?,?
1,0,0,1,0,0,0,1,0,0,3455718.611,?,?,?,?,?,0.15,?,?,?,?,?
0,1,0,1,0,0,0,1,0,0,0,0.66,0.18,1,0.57,0.83,0.15,?,?,0.22,?,?
0,1,0,0,0,1,0,1,0,0,0,?,?,0.14,0.57,0.8,?,?,?,?,0.14,?
0,0,1,0,1,0,1,0,0,0,1828176.717,0.44,0.66,0.55,0.66,0.88,0.44,0.55,0.8,0.09,0.22,0.11
0,1,0,0,0,1,0,1,0,0,2259625.105,0.33,0.66,0.21,0.66,0.57,?,0.4,0.8,0.12,0.12,?
1,0,0,0,0,1,1,0,0,0,1620288.454,0.17,0.8,0.21,0.57,0.21,0.44,0.21,0.57,0.08,0.17,0.06
1,0,0,1,0,0,1,0,0,0,1592964.755,0.14,0.14,0.21,0.8,0.21,0.17,?,0.14,0.17,0.14,?
1,0,0,0,0,1,0,1,0,0,3166651.433,0.14,0.66,0.5,0.8,0.8,0.16,0.44,0.8,0.12,0.16,?
0,0,1,0,0,1,1,0,0,0,1553073.042,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
0,0,1,1,0,0,0,1,0,0,3346256.354,0.33,1,0.4,0.44,0.57,0.4,0.4,0.57,0.44,0.12,0.06
1,0,0,0,0,1,1,0,0,1,125824.6701,0.06,0.11,0.06,0.66,0.18,0.4,0.66,0.09,0.13,0.08,0.06
0,1,0,1,0,0,0,1,0,0,2307517.32,0.14,0.14,0.21,0.66,0.8,0.44,0.55,0.8,0.09,0.14,0.11
1,0,0,1,0,0,0,0,1,0,1346141.578,1,0.66,0.57,0.5,0.6,0.4,0.4,0.57,0.4,0.8,0.06
0,0,1,0,1,0,1,0,0,0,201814.9977,0.12,0.12,0.08,0.12,0.08,0.12,0.08,0.19,0.1,0.08,0.16
0,0,1,0,1,0,0,1,0,0,407206.8389,0.3,1,0.2,0.44,0.57,0.15,0.3,0.44,0.11,0.1,0.09
0,0,1,1,0,0,1,0,0,0,645799.4091,0.17,?,0.21,?,0.21,?,0.21,?,?,0.17,?
1,0,0,0,1,0,0,0,1,1,1554820.196,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,0,1,0,1,0,1,0,0,0,785283.2842,?,0.8,?,0.8,?,0.17,?,0.14,0.17,?,?
0,0,1,1,0,0,0,1,0,0,2017384.933,0.12,0.12,?,0.12,?,0.12,?,0.19,?,?,0.16
1,0,0,1,0,0,0,1,0,1,6858452.543,?,0.66,?,0.24,?,?,?,0.19,?,?,?
0,1,0,0,0,1,0,1,0,0,0,0.33,1,0.4,0.44,0.57,0.15,0.4,0.57,0.44,0.12,0.09
0,0,1,1,0,0,0,1,0,0,115175.1163,0.17,?,0.21,?,0.21,?,0.21,?,?,0.17,?
0,0,1,1,0,0,0,1,0,0,0,0.06,0.66,0.57,0.5,0.6,0.4,0.4,0.09,0.4,0.8,0.06
1,0,0,0,0,1,0,1,0,1,141522.6874,0.8,0.16,0.8,0.16,1,0.8,0.8,0.35,0.19,?,?
1,0,0,0,0,1,0,0,1,0,650604.4143,1,0.19,0.55,0.57,0.62,0.44,0.71,0.57,0.08,0.55,0.06
1,0,0,0,0,1,1,0,0,0,766090.4986,0.3,1,0.2,0.44,0.57,0.15,0.3,0.44,0.11,0.1,0.09
1,0,0,0,0,1,0,1,0,0,787968.186,0.66,0.66,0.83,0.5,1,0.55,0.8,0.25,0.1,0.08,?
